"path_id","origin_airport_id","destination_airport_id","distance"
1,11292,11193,1069
2,10558,11292,150
3,11292,13487,680
4,14107,10950,328
5,12441,11292,406
6,14107,13502,419
7,14489,11292,898
8,11109,15016,773
9,11292,10257,1610
10,12003,11292,624
11,11921,12889,420
12,14524,11292,1482
13,11468,11292,305
14,14288,11711,231
15,12896,11292,456
16,13200,11292,218
17,11292,13029,423
18,11109,12992,746
19,11292,10409,519
20,11292,14814,792
21,11292,14869,391
22,11292,14262,776
23,12094,11292,141
24,13204,11109,1520
25,11292,11503,120
26,11292,13244,872
27,11423,11292,589
28,14100,11292,1558
29,11109,12889,604
30,11648,11292,752
31,11292,10279,359
32,11292,14570,804
33,11298,11292,641
34,11292,10423,775
35,11292,12451,1447
36,11292,13871,472
37,12889,11109,604
38,11109,13486,734
39,11921,14107,438
40,11292,11865,313
41,10693,11292,1014
42,12892,11413,640
43,11057,11292,1337
44,11003,11292,692
45,14730,11292,1024
46,10620,11292,455
47,13830,11292,3302
48,11292,11540,563
49,11283,11292,292
50,12892,11921,655
51,11423,10325,604
52,11292,12266,862
53,13244,11109,854
54,11292,14831,948
55,12173,11292,3365
56,12389,11292,576
57,11292,11278,1476
58,11292,12255,298
59,11315,11292,488
60,11711,11413,40
61,12278,11292,420
62,11292,11122,230
63,13486,11292,679
64,14698,11292,931
65,11292,14543,260
66,10590,14288,598
67,10372,14771,848
68,11719,10590,637
69,15370,11292,541
70,12889,11921,420
71,14122,11292,1290
72,14792,10372,919
73,11292,13851,495
74,11292,14492,1436
75,12266,13502,927
76,10466,11109,543
77,11109,14771,964
78,14747,11109,1068
79,11447,11292,638
80,10590,13502,436
81,14107,11292,602
82,11540,11292,563
83,15177,11292,218
84,11292,11648,752
85,10272,11292,179
86,10950,11292,277
87,12094,11122,172
88,10713,11292,649
89,11292,15412,1162
90,11292,10950,277
91,13930,13502,1081
92,14457,11292,300
93,11066,11292,1154
94,11292,12003,624
95,11292,15582,259
96,10325,13930,903
97,14512,11292,828
98,11563,11921,312
99,12892,10372,737
100,14877,11292,383
101,10925,11292,221
102,11292,10529,1671
103,11292,12519,573
104,14794,11109,496
105,11292,12094,141
106,11109,12892,834
107,13930,10372,1013
108,11292,13485,826
109,11292,12478,1626
110,13495,11292,1062
111,11292,10800,850
112,15304,11292,1506
113,11292,15370,541
114,11292,12389,576
115,11292,10559,1026
116,11921,14869,216
117,10627,11292,516
118,14252,11292,852
119,11292,11066,1154
120,12266,11109,809
121,11292,15919,616
122,11092,11292,283
123,11292,10643,665
124,12992,11292,771
125,11066,10325,1166
126,11292,11259,651
127,14107,11921,438
128,11292,12280,458
129,11292,11884,836
130,11292,13367,752
131,12889,11292,628
132,11292,12173,3365
133,11603,11292,996
134,11503,11298,721
135,14288,13796,967
136,11292,11109,73
137,11292,11423,589
138,11292,13198,533
139,11292,14698,931
140,11109,10397,1184
141,12266,11292,862
142,10325,10423,764
143,11292,14252,852
144,12266,12012,886
145,11292,14193,1179
146,11109,15376,580
147,11292,11996,1278
148,10140,11413,160
149,11986,11292,1015
150,11292,10713,649
151,13433,11292,604
152,11292,10792,1359
153,11884,11292,836
154,12191,11292,883
155,10372,13930,1013
156,11292,10925,221
157,11292,14081,420
158,11292,14120,385
159,11298,11921,773
160,13931,11292,1553
161,11292,13264,964
162,11292,13964,1040
163,11042,11292,1201
164,11292,11298,641
165,11413,11298,674
166,10372,11298,701
167,14783,11292,637
168,11292,13486,679
169,11292,10372,125
170,14576,11292,1413
171,11292,11618,1605
172,11292,15177,218
173,10466,11292,595
174,11292,11603,996
175,11292,10272,179
176,11638,11921,632
177,14869,11292,391
178,11292,12758,3329
179,11921,11292,212
180,14908,11292,846
181,11292,11003,692
182,11292,13930,888
183,12217,11292,1048
184,10950,14107,328
185,11292,12448,967
186,11292,11413,250
187,13964,11292,1040
188,14689,11292,916
189,11995,11292,1370
190,12758,11292,3329
191,15376,11292,639
192,10821,11292,1491
193,11109,15570,761
194,13502,11292,196
195,13930,11921,1100
196,14120,11292,385
197,14252,11921,730
198,15919,11292,616
199,11292,11097,391
200,11292,14683,794
201,11298,11413,674
202,10590,11719,637
203,11292,14635,1607
204,11292,10721,1754
205,13502,14107,419
206,14679,11292,853
207,10372,10800,725
208,13502,12891,593
209,11292,13158,563
210,11292,15304,1506
211,11292,13830,3302
212,11292,14524,1482
213,11292,14877,383
214,12255,11292,298
215,13232,11292,895
216,11292,10558,150
217,12280,11292,458
218,11292,14908,846
219,13341,11292,541
220,14771,11109,964
221,15412,11292,1162
222,10372,11292,125
223,12902,10325,274
224,10372,12266,913
225,10372,12892,737
226,12954,11292,854
227,13485,11292,826
228,13796,11292,957
229,11292,11468,305
230,11292,12012,152
231,11292,12217,1048
232,15016,11292,770
233,10800,11292,850
234,11109,14747,1068
235,11122,11292,230
236,14635,11292,1607
237,11292,10620,455
238,12544,11503,1464
239,13303,11292,1709
240,10372,14869,292
241,11109,11298,592
242,11292,14689,916
243,10257,11292,1610
244,11292,11292,0
245,11292,12892,862
246,11292,12902,280
247,11292,14275,1120
248,11292,14534,296
249,13198,11292,533
250,11233,11292,90
251,11292,12992,771
252,11697,11292,1703
253,11638,11109,833
254,13851,11292,495
255,11292,12156,594
256,11292,12191,883
257,14831,11292,948
258,13502,13930,1081
259,13244,11292,872
260,13502,11298,722
261,11292,11637,627
262,11711,11292,289
263,11292,12896,456
264,11292,14893,909
265,12264,11292,1452
266,12982,11292,3414
267,14570,11292,804
268,11865,11292,313
269,11292,11433,1123
270,11292,13433,604
271,11109,13244,854
272,14869,11109,411
273,11292,13502,196
274,11292,13931,1553
275,11503,10800,735
276,11292,10994,1449
277,11292,12278,420
278,14288,10590,598
279,11292,11986,1015
280,11292,13495,1062
281,11292,13796,957
282,13487,11292,680
283,14288,11292,109
284,11109,14107,551
285,14674,11292,303
286,10643,11292,665
287,13796,11109,954
288,11292,13891,819
289,14831,11109,943
290,11193,11292,1069
291,11840,14288,1070
292,14193,11292,1179
293,14747,11292,1024
294,11413,12892,640
295,10590,11292,632
296,11292,12441,406
297,11292,13342,896
298,14683,11292,794
299,10221,11292,180
300,10140,11292,349
301,11638,11292,844
302,13891,11292,819
303,11109,16091,1136
304,11292,10140,349
305,12902,11292,280
306,14869,11921,216
307,11292,11042,1201
308,10299,11292,2405
309,12266,10372,913
310,11292,10397,1199
311,14107,11109,551
312,11921,13244,1061
313,11292,14771,967
314,11618,11292,1605
315,10325,14831,937
316,11292,10627,516
317,14543,11292,260
318,10529,11292,1671
319,10599,11292,1083
320,11292,15041,557
321,12899,11292,228
322,11292,11711,289
323,13264,11292,964
324,10849,11292,524
325,11109,12278,403
326,11921,11109,207
327,13930,11109,911
328,10800,11503,735
329,11292,10590,632
330,11292,14679,853
331,12892,11292,862
332,11109,14869,411
333,11921,11563,312
334,11292,12888,113
335,10140,10272,170
336,11292,14730,1024
337,11921,11638,632
338,11413,11292,250
339,11109,12266,809
340,11637,11292,627
341,11292,11233,90
342,14107,11413,353
343,11292,13232,895
344,13029,11292,423
345,10279,11292,359
346,11292,15016,770
347,11292,11775,483
348,11775,11292,483
349,11413,14107,353
350,11921,10372,89
351,11292,10299,2405
352,11292,12982,3414
353,11292,14674,303
354,11413,10140,160
355,11503,15016,889
356,11298,13502,722
357,15016,11503,889
358,11292,11315,488
359,11298,10372,701
360,13502,10590,436
361,11292,14122,1290
362,11376,11292,870
363,11292,10221,180
364,13342,11292,896
365,11267,11292,1085
366,11292,11057,1337
367,11278,11109,1487
368,14534,11292,296
369,12953,11292,1620
370,12339,11292,977
371,14869,10372,292
372,10397,11109,1184
373,11097,11292,391
374,10721,11292,1754
375,11292,10599,1083
376,11292,11995,1370
377,12156,11292,594
378,14262,11292,776
379,13871,11292,472
380,11292,14489,898
381,11298,11109,592
382,11292,14057,991
383,11109,11921,207
384,12478,11292,1626
385,11921,11298,773
386,11292,11140,929
387,11292,14288,109
388,11292,13204,1546
389,13930,11292,888
390,10423,11292,775
391,10561,11292,845
392,11292,10821,1491
393,11292,10693,1014
394,11292,11283,292
395,11109,10466,543
396,15582,11292,259
397,11292,10194,626
398,13158,11292,563
399,10994,11292,1449
400,12012,11292,152
401,13244,11921,1061
402,11109,13930,911
403,11292,14783,637
404,11292,12889,628
405,11109,13204,1520
406,14492,11292,1436
407,11109,11292,73
408,11292,11921,212
409,11278,11292,1476
410,11503,11292,120
411,11259,11109,602
412,11122,12094,172
413,11292,13303,1709
414,11292,12954,854
415,11292,10849,524
416,14794,11292,517
417,14771,11292,967
418,11292,13200,218
419,11292,11267,1085
420,11292,14747,1024
421,11292,14794,517
422,11292,11481,1250
423,11298,11503,721
424,11921,12892,655
425,14771,10372,848
426,10325,11292,22
427,11292,14100,1558
428,11292,14107,602
429,10423,10325,764
430,11292,10561,845
431,12892,11109,834
432,12519,11292,573
433,11292,12339,977
434,13367,11292,752
435,11292,12264,1452
436,14893,11292,909
437,11292,11638,844
438,10272,10140,170
439,14814,11292,792
440,10747,11292,1049
441,11292,11092,283
442,11292,12899,228
443,11292,11697,1703
444,11292,11973,1095
445,11292,12953,1620
446,11292,15376,639
447,12888,11292,113
448,10194,11292,626
449,11433,11292,1123
450,11259,11292,651
451,13486,11109,734
452,14057,11292,991
453,13502,12266,927
454,11292,14457,300
455,10397,11292,1199
456,12451,11292,1447
457,13204,11292,1546
